School,Division,Team,City,State,Primary Conference
Saint Michael's College,D2,Purple Knights,Colchester,Vermont,Northeast-10 Conference
College of Saint Rose,D2,Golden Knights,Albany,New York,Northeast-10 Conference
St. Thomas Aquinas College,D2,Spartans,Sparkill,New York,East Coast Conference
Salem University,D2,Tigers,Salem,West Virginia,Independent
San Francisco State University,D2,Gators,San Francisco,California,California Collegiate Athletic Association
University of the Sciences,D2,Devils,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Seattle Pacific University,D2,Falcons,Seattle,Washington,Great Northwest Athletic Conference
Seton Hill University,D2,Griffins,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference
Shaw University,D2,Bears,Raleigh,North Carolina,Central Intercollegiate Athletic Association
Shepherd University,D2,Rams,Shepherdstown,West Virginia,Mountain East Conference
Shippensburg University of Pennsylvania,D2,Raiders,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference
Shorter University,D2,Hawks,Rome,Georgia,Gulf South Conference
Simon Fraser University,D2,Clan,Burnaby,British Columbia,Great Northwest Athletic Conference
University of Sioux Falls,D2,Cougars,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference
Slippery Rock University of Pennsylvania,D2,The Rock,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference
Sonoma State University,D2,Seawolves,Rohnert Park,California,California Collegiate Athletic Association
University of South Carolina Aiken,D2,Pacers,Aiken,South Carolina,Peach Belt Conference
South Dakota School of Mines and Technology,D2,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference
Southeastern Oklahoma State University,D2,Savage Storm,Durant,Oklahoma,Great American Conference
Southern Arkansas University,D2,Muleriders,Magnolia,Arkansas,Great American Conference
Southern Connecticut State University,D2,Owls,New Haven,Connecticut,Northeast-10 Conference
University of Southern Indiana,D2,Screaming Eagles,Evansville,Indiana,Great Lakes Valley Conference
Southern Nazarene University,D2,Crimson Storm,Bethany,Oklahoma,Great American Conference
Southern New Hampshire University,D2,Penmen,Manchester,New Hampshire,Northeast-10 Conference
Southern Wesleyan University,D2,Warriors,Central,South Carolina,Conference Carolinas
Southwest Baptist University,D2,Bearcats,Bolivar,Missouri,Mid-America Intercollegiate Athletics Association
Southwest Minnesota State University,D2,Mustangs,Marshall,Minnesota,Northern Sun Intercollegiate Conference
Southwestern Oklahoma State University,D2,Bulldogs,Weatherford,Oklahoma,Great American Conference
Stonehill College,D2,Skyhawks,Easton,Massachusetts,Northeast-10 Conference
University of Tampa,D2,Spartans,Tampa,Florida,Sunshine State Conference
Tarleton State University,D2,Texans & TexAnns,Stephenville,Texas,Lone Star Conference
Texas A&M University-Commerce,D2,Lions,Commerce,Texas,Lone Star Conference
Texas A&M University-Kingsville,D2,Javelinas,Kingsville,Texas,Lone Star Conference
Texas A&M International University,D2,Dustdevils,Laredo,Texas,Heartland Conference
Texas Woman's University,D2,Pioneers,Denton,Texas,Lone Star Conference
University of Texas of the Permian Basin,D2,Falcons,Odessa,Texas,Lone Star Conference
Thomas Jefferson University,D2,Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Tiffin University,D2,Dragons,Tiffin,Ohio,Great Midwest Athletic Conference
Trevecca Nazarene University,D2,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference
Truman State University,D2,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference
Tusculum College,D2,Pioneers,Greeneville,Tennessee,South Atlantic Conference
Tuskegee University,D2,Golden Tigers,Tuskegee,Alabama,Southern Intercollegiate Athletic Conference
Union University,D2,Bulldogs,Jackson,Tennessee,Gulf South Conference
Upper Iowa University,D2,Peacocks,Fayette,Iowa,Northern Sun Intercollegiate Conference
Urbana University,D2,Blue Knights,Urbana,Ohio,Mountain East Conference
Ursuline College,D2,Arrows,Pepper Pike,Ohio,Great Midwest Athletic Conference
Valdosta State University,D2,Blazers,Valdosta,Georgia,Gulf South Conference
Virginia State University,D2,Trojans,Ettrick,Virginia,Central Intercollegiate Athletic Association
Virginia Union University,D2,Panthers,Richmond,Virginia,Central Intercollegiate Athletic Association
University of Virginia's College at Wise,D2,Highland Cavaliers,Wise,Virginia,Mountain East Conference
Walsh University,D2,Cavaliers,North Canton,Ohio,Great Midwest Athletic Conference
Washburn University,D2,Ichabods,Topeka,Kansas,Mid-America Intercollegiate Athletics Association
Wayne State University,D2,Warriors,Detroit,Michigan,Great Lakes Intercollegiate Athletic Conference
Wayne State College,D2,Wildcats,Wayne,Nebraska,Northern Sun Intercollegiate Conference
University of West Alabama,D2,Tigers,Livingston,Alabama,Gulf South Conference
West Chester University,D2,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference
University of West Florida,D2,Argonauts,Pensacola,Florida,Gulf South Conference
University of West Georgia,D2,Wolves,Carrollton,Georgia,Gulf South Conference
West Liberty University,D2,Hilltoppers,West Liberty,West Virginia,Mountain East Conference
West Texas A&M University,D2,Buffaloes,Canyon,Texas,Lone Star Conference
West Virginia State University,D2,Yellow Jackets,Institute,West Virginia,Mountain East Conference
West Virginia Wesleyan College,D2,Bobcats,Buckhannon,West Virginia,Mountain East Conference
Western New Mexico University,D2,Mustangs,Silver City,New Mexico,Lone Star Conference
Western Oregon University,D2,Wolves,Monmouth,Oregon,Great Northwest Athletic Conference
Western State Colorado University,D2,Mountaineers,Gunnison,Colorado,Rocky Mountain Athletic Conference
Western Washington University,D2,Vikings,Bellingham,Washington,Great Northwest Athletic Conference
Wheeling Jesuit University,D2,Cardinals,Wheeling,West Virginia,Mountain East Conference
William Jewell College,D2,Cardinals,Liberty,Missouri,Great Lakes Valley Conference
Wilmington University,D2,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference
Wingate University,D2,Bulldogs,Wingate,North Carolina,South Atlantic Conference
Winona State University,D2,Warriors,Winona,Minnesota,Northern Sun Intercollegiate Conference
Winston-Salem State University,D2,Rams,Winston-Salem,North Carolina,Central Intercollegiate Athletic Association
University of Wisconsin-Parkside,D2,Rangers,Kenosha,Wisconsin,Great Lakes Intercollegiate Athletic Conference
Young Harris College,D2,Mountain Lions,Young Harris,Georgia,Peach Belt Conference
