School,Division,Team,City,State,Primary Conference
University of Wisconsin-Eau Claire,D3,Blugolds,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-La Crosse,D3,Eagles,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference
Wisconsin Lutheran College,D3,Warriors,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
University of Wisconsin-Oshkosh,D3,Titans,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Platteville,D3,Pioneers,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-River Falls,D3,Falcons,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Stevens Point,D3,Pointers,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Stout,D3,Blue Devils,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Superior,D3,Yellow Jackets,Superior,Wisconsin,Upper Midwest Athletic Conference
University of Wisconsin-Whitewater,D3,Warhawks,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference
Wittenberg University,D3,Tigers,Springfield,Ohio,North Coast Athletic Conference
College of Wooster,D3,Fighting Scots,Wooster,Ohio,North Coast Athletic Conference
Worcester Polytechnic Institute,D3,Engineers,Worcester,Massachusetts,New England Women's and Men's Athletic Conference
Worcester State University,D3,Lancers,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference
Yeshiva University,D3,Maccabees,New York,New York,Skyline Conference
York College, City University of New York,D3,Cardinals,Queens,New York,City University of New York Athletic Conference
York College of Pennsylvania,D3,Spartans,York,Pennsylvania,Capital Athletic Conference
