Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Men,2016,D1,Louisiana Tech,25,68,8,29,37,44,95,16,35,51,18,17,7,5,18,37,85,8,31,6,14,88,18,30,48,13,18,9,5,28,1,1,0,0.35,0.66,89.9,91.65,0.72,1.0567296996662958,0.9601745771958538,0.4264705882352941,0.4823529411764706,0.18909899888765294,0.6470588235294118,0.4264705882352941,0.07637752318603382,0.058823529411764705,105.67296996662958,96.01745771958538,9.6555122470442
Women,2017,D2,Newman,29,66,3,12,10,19,71,20,30,50,7,30,10,0,19,25,63,4,20,7,11,61,11,23,34,17,25,11,0,22,1,1,0,0.47,0.73,85.025,82.225,0.2413793103448276,0.835048515142605,0.7418668288233506,0.4621212121212121,0.42857142857142855,0.352837400764481,0.2878787878787879,0.18181818181818182,0.12161751292186075,0.0,83.50485151426051,74.18668288233506,9.318168631925445
Men,2017,D3,Pine Manor,35,96,6,18,11,17,87,18,24,42,11,14,14,3,22,38,71,13,31,17,26,106,12,45,57,23,25,9,4,19,1,0,1,0.29,0.67,100.075,96.35,0.3142857142857143,0.8693479890082438,1.100155682407888,0.3958333333333333,0.6267605633802817,0.13989507869098175,0.17708333333333334,0.1875,0.14530358069538143,0.04225352112676056,86.93479890082439,110.0155682407888,-23.080769339964405
Women,2017,D1,Florida A&M,20,58,5,16,9,17,54,12,21,33,4,16,10,2,14,25,54,8,21,8,12,66,10,30,40,16,22,5,1,17,1,0,1,0.29,0.68,70.075,71.7,0.2,0.7706029254370317,0.9205020920502092,0.3879310344827586,0.5370370370370371,0.22832679272208348,0.29310344827586204,0.27586206896551724,0.1394700139470014,0.037037037037037035,77.06029254370317,92.05020920502092,-14.98991666131775
Men,2017,D1,Valparaiso,23,49,7,18,15,21,68,8,24,32,8,17,5,1,19,23,56,6,21,8,13,60,13,22,35,13,14,4,5,21,1,1,0,0.27,0.65,67.975,63.175,0.34782608695652173,1.0003677822728945,0.9497427779976256,0.5408163265306123,0.4642857142857143,0.2500919455682236,0.42857142857142855,0.3673469387755102,0.07914523149980214,0.017857142857142856,100.03677822728945,94.97427779976256,5.062500427526885
Women,2016,D1,William Carey,11,62,4,20,4,7,30,15,19,34,5,21,8,5,13,25,54,8,17,8,14,66,14,37,51,13,22,11,7,12,1,0,1,0.29,0.58,71.325,68.65,0.45454545454545453,0.4206098843322818,0.9613983976693371,0.20967741935483872,0.5370370370370371,0.29442691903259727,0.11290322580645161,0.3225806451612903,0.1165331391114348,0.09259259259259259,42.06098843322818,96.1398397669337,-54.07885133370552
Men,2016,D2,Flagler,82,196,20,71,38,48,222,32,63,95,39,44,24,9,40,101,200,30,70,37,48,269,39,87,126,64,44,22,13,44,3,0,3,0.27,0.62,230.8,227.8,0.47560975609756095,0.9618717504332756,1.1808604038630377,0.46938775510204084,0.58,0.19064124783362218,0.24489795918367346,0.3622448979591837,0.10535557506584722,0.045,96.18717504332756,118.08604038630376,-21.898865342976208
Women,2017,D3,Allegheny,96,343,25,124,58,81,275,89,140,229,52,94,39,20,94,149,358,31,104,64,100,393,79,174,253,80,68,53,14,69,5,1,4,0.34,0.64,386.475,394.5,0.5416666666666666,0.7115596092890872,0.9961977186311787,0.3163265306122449,0.4594972067039106,0.24322401190245163,0.23615160349854228,0.36151603498542273,0.09885931558935361,0.055865921787709494,71.15596092890873,99.61977186311786,-28.463810934209135
Women,2017,D3,Lycoming,38,120,5,21,37,47,118,26,32,58,17,28,32,9,35,49,106,12,25,26,33,136,25,60,85,33,47,13,11,38,2,0,2,0.3,0.56,144.325,143.675,0.4473684210526316,0.8175991685432185,0.9465808247781451,0.3375,0.5188679245283019,0.19400658236618745,0.39166666666666666,0.175,0.22272489994779884,0.08490566037735849,81.75991685432184,94.6580824778145,-12.898165623492659
Women,2017,D1,Lafayette,15,44,2,18,7,14,39,12,15,27,3,24,7,1,23,28,56,10,26,15,19,81,14,21,35,17,12,14,1,12,1,0,1,0.36,0.52,62.650000000000006,63.025000000000006,0.2,0.6225059856344772,1.2852042840142799,0.36363636363636365,0.5892857142857143,0.38308060654429366,0.3181818181818182,0.4090909090909091,0.11106703689012296,0.017857142857142856,62.250598563447724,128.52042840142798,-66.26982983798025
