Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Women,2017,D3,Penn St.-Behrend,48,126,10,42,16,18,122,26,53,79,30,42,15,9,40,35,109,5,37,36,56,111,20,41,61,24,32,26,11,19,2,1,1,0.39,0.73,150.55,147.6,0.625,0.8103620059780803,0.7520325203252033,0.42063492063492064,0.3440366972477064,0.27897708402524074,0.14285714285714285,0.3333333333333333,0.1016260162601626,0.08256880733944955,81.03620059780803,75.20325203252033,5.832948565287708
Women,2016,D2,West Florida,42,116,7,27,32,37,123,12,49,61,28,22,15,8,43,46,101,17,41,24,34,133,11,62,73,30,34,7,2,39,2,0,2,0.16,0.82,143.575,140.15,0.6666666666666666,0.8566951070868885,0.9489832322511594,0.3922413793103448,0.5396039603960396,0.1532300191537524,0.31896551724137934,0.23275862068965517,0.10702818408847663,0.07920792079207921,85.66951070868885,94.89832322511594,-9.228812516427098
Women,2016,D2,Academy of Art,53,131,18,55,29,45,153,28,31,59,30,33,18,5,42,53,126,9,43,38,56,153,40,47,87,35,48,10,4,49,2,1,1,0.37,0.44,157.375,160.6,0.5660377358490566,0.9722001588562351,0.9526774595267746,0.4732824427480916,0.45634920634920634,0.2096902303415409,0.3435114503816794,0.4198473282442748,0.11207970112079702,0.03968253968253968,97.22001588562351,95.26774595267746,1.9522699329460522
Women,2016,D3,Sul Ross St.,56,125,9,32,32,51,153,28,55,83,32,30,19,6,34,56,128,15,33,30,39,157,24,52,76,32,29,14,5,31,2,0,2,0.35,0.7,151.225,151.525,0.5714285714285714,1.01173747726897,1.0361326513776603,0.484,0.49609375,0.19837989750371962,0.408,0.256,0.12539184952978055,0.046875,101.173747726897,103.61326513776604,-2.43951741086903
Men,2016,D3,Corban,27,61,3,18,17,25,74,14,33,47,6,15,5,5,19,27,67,10,27,7,16,71,12,25,37,10,12,8,1,23,1,1,0,0.36,0.73,73.875,74.6,0.2222222222222222,1.0016920473773265,0.9517426273458446,0.4672131147540984,0.47761194029850745,0.20304568527918782,0.4098360655737705,0.29508196721311475,0.06702412868632708,0.07462686567164178,100.16920473773266,95.17426273458446,4.994942003148196
Women,2017,D2,Northern N.M.,22,57,12,23,10,13,66,12,37,49,15,22,7,9,17,27,79,7,20,7,12,68,21,22,43,8,10,10,6,15,1,0,1,0.35,0.64,73.175,73.7,0.6818181818181818,0.9019473864024599,0.9226594301221167,0.49122807017543857,0.3860759493670886,0.30064912880081995,0.22807017543859648,0.40350877192982454,0.09497964721845319,0.11392405063291139,90.19473864024599,92.26594301221166,-2.0712043719656776
Women,2016,D3,Grove City,23,60,3,17,7,13,56,12,22,34,10,21,7,2,21,28,54,3,8,16,23,75,5,26,31,17,13,11,3,15,1,0,1,0.32,0.81,75.175,72.925,0.43478260869565216,0.7449285001662788,1.0284538909838876,0.4083333333333333,0.5462962962962963,0.2793481875623545,0.21666666666666667,0.2833333333333333,0.09598902982516284,0.037037037037037035,74.49285001662787,102.84538909838876,-28.352539081760895
Men,2017,D2,Presentation,18,66,7,26,13,19,56,10,20,30,10,7,5,0,16,34,67,10,27,9,18,87,16,41,57,20,13,1,5,19,1,0,1,0.2,0.56,72.025,72.55,0.5555555555555556,0.777507809788268,1.199172984148863,0.32575757575757575,0.582089552238806,0.0971884762235335,0.2878787878787879,0.3939393939393939,0.06891798759476224,0.0,77.7507809788268,119.9172984148863,-42.16651743605951
Men,2016,D3,Coe,57,177,22,86,42,62,178,35,90,125,34,20,13,9,36,73,178,31,73,24,37,201,24,97,121,31,20,6,13,51,3,1,2,0.27,0.79,191.45,191.575,0.5964912280701754,0.929746670148864,1.0491974422549917,0.384180790960452,0.49719101123595505,0.10446591799425438,0.3502824858757062,0.4858757062146893,0.06785854104136761,0.05056179775280899,92.9746670148864,104.91974422549917,-11.945077210612766
Men,2016,D1,UMass Lowell,22,58,10,25,3,6,57,7,24,31,13,15,7,2,17,29,62,13,29,12,17,83,12,31,43,14,11,12,4,13,1,0,1,0.18,0.67,68.85,69.075,0.5909090909090909,0.8278867102396514,1.201592471950778,0.46551724137931033,0.5725806451612904,0.2178649237472767,0.10344827586206896,0.43103448275862066,0.10133912414042706,0.03225806451612903,82.78867102396515,120.1592471950778,-37.370576171112646
Men,2017,D2,Hillsdale,743,1523,246,643,303,411,2035,206,684,890,423,309,142,90,446,708,1550,191,514,332,463,1939,235,635,870,335,299,152,67,436,27,15,12,0.24,0.74,1821.225,1833.9250000000002,0.5693135935397039,1.117379785583879,1.0572951456575377,0.5686145764937623,0.5183870967741936,0.16966602149652021,0.26986211424819434,0.4221930400525279,0.07742955682484289,0.05806451612903226,111.7379785583879,105.72951456575377,6.00846399263412
Women,2016,D2,North Greenville,607,1689,216,695,289,416,1719,320,788,1108,320,502,195,82,436,725,1863,163,534,326,471,1939,423,811,1234,353,412,228,84,441,29,10,19,0.28,0.65,2068.6,2075.725,0.5271828665568369,0.8309968094363338,0.9341314480482723,0.42332741267021906,0.43290391841116477,0.2426762061297496,0.246299585553582,0.41148608644168144,0.09394308012862976,0.0440150295222759,83.09968094363339,93.41314480482723,-10.313463861193839
Women,2016,D1,Alabama St.,31,104,8,34,22,37,92,29,53,82,21,39,16,17,44,35,107,7,19,30,43,107,28,52,80,19,40,18,13,34,2,0,2,0.36,0.65,131.575,139.425,0.6774193548387096,0.6992209766292989,0.7674376905146135,0.33653846153846156,0.3598130841121495,0.29640889226676803,0.3557692307692308,0.3269230769230769,0.1147570378339609,0.1588785046728972,69.9220976629299,76.74376905146136,-6.821671388531456
Men,2016,D2,Shepherd,49,116,18,50,31,36,147,23,48,71,28,33,11,1,31,58,122,17,51,24,37,157,21,47,68,30,26,16,6,33,2,0,2,0.33,0.7,143.1,144.575,0.5714285714285714,1.0272536687631029,1.0859415528272525,0.5,0.5450819672131147,0.23060796645702308,0.3103448275862069,0.43103448275862066,0.0760850769496801,0.00819672131147541,102.72536687631029,108.59415528272524,-5.86878840641495
Women,2017,D2,Seton Hill,42,125,23,64,26,36,133,27,53,80,31,30,10,2,38,46,123,11,34,32,41,135,25,60,85,20,27,11,9,36,2,1,1,0.31,0.68,145.1,144.475,0.7380952380952381,0.9166092350103378,0.9344177193286036,0.428,0.4186991869918699,0.2067539627842867,0.288,0.512,0.06921612735767434,0.016260162601626018,91.66092350103378,93.44177193286036,-1.780848431826584
Men,2017,D1,Arkansas St.,96,213,26,69,56,88,274,50,105,155,46,56,19,11,75,96,233,27,75,50,80,269,48,86,134,44,40,26,24,74,4,2,2,0.37,0.69,260.8,263.0,0.4791666666666667,1.0506134969325154,1.0228136882129277,0.5117370892018779,0.4699570815450644,0.21472392638036808,0.4131455399061033,0.323943661971831,0.07224334600760456,0.04721030042918455,105.06134969325154,102.28136882129277,2.77998087195877
Men,2016,D1,Pittsburgh,28,56,10,19,20,24,86,11,23,34,17,7,3,2,17,32,59,9,20,9,14,82,7,17,24,14,3,3,6,20,1,1,0,0.39,0.77,63.400000000000006,61.650000000000006,0.6071428571428571,1.3564668769716086,1.330089213300892,0.5892857142857143,0.6186440677966102,0.11041009463722397,0.42857142857142855,0.3392857142857143,0.048661800486618,0.03389830508474576,135.64668769716087,133.00892133008918,2.6377663670716913
Women,2016,D1,Portland,44,100,8,23,14,15,110,15,42,57,19,37,8,12,34,52,116,10,27,34,44,148,26,40,66,33,17,22,2,20,2,0,2,0.27,0.62,129.125,127.9,0.4318181818181818,0.8518877057115198,1.157154026583268,0.48,0.49137931034482757,0.28654404646660214,0.15,0.23,0.06254886630179828,0.10344827586206896,85.18877057115198,115.71540265832681,-30.526632087174832
Men,2017,D3,La Roche,63,129,24,53,29,41,179,25,44,69,45,32,22,6,42,62,127,19,49,23,36,166,25,44,69,39,33,19,8,40,2,1,1,0.36,0.64,155.475,152.1,0.7142857142857143,1.151310500080399,1.091387245233399,0.5813953488372093,0.562992125984252,0.20582087152275286,0.3178294573643411,0.4108527131782946,0.14464168310322156,0.047244094488188976,115.13105000803989,109.1387245233399,5.99232548469999
Men,2017,D1,Denver,21,42,7,17,15,22,64,6,24,30,15,16,3,1,19,17,54,2,22,15,21,51,14,18,32,3,13,5,1,21,1,1,0,0.25,0.63,62.45,62.974999999999994,0.7142857142857143,1.0248198558847077,0.8098451766574039,0.5833333333333334,0.3333333333333333,0.2562049639711769,0.5238095238095238,0.40476190476190477,0.04763795156808258,0.018518518518518517,102.48198558847076,80.98451766574038,21.49746792273038
Men,2017,D1,Michigan,1052,2160,379,975,519,665,3002,288,862,1150,558,373,233,118,584,1007,2165,233,623,376,547,2623,369,882,1251,459,516,175,101,686,40,29,11,0.25,0.7,2560.875,2571.825,0.5304182509505704,1.17225557670718,1.0198983212310324,0.5747685185185185,0.5189376443418013,0.14565334114316394,0.30787037037037035,0.4513888888888889,0.09059714405140319,0.05450346420323326,117.225557670718,101.98983212310324,15.235725547614763
Men,2016,D2,Newberry,54,121,18,48,44,70,170,20,59,79,32,26,12,4,55,53,129,19,56,40,61,165,24,63,87,32,33,12,7,52,2,1,1,0.24,0.71,160.25,166.975,0.5925925925925926,1.0608424336973479,0.9881718820182662,0.5206611570247934,0.4844961240310077,0.1622464898595944,0.5785123966942148,0.39669421487603307,0.07186704596496482,0.031007751937984496,106.08424336973479,98.81718820182662,7.267055167908168
Women,2016,D3,Berry,75,183,12,52,39,59,201,41,75,116,43,45,22,6,55,82,200,13,52,41,53,218,45,76,121,39,33,22,8,52,3,1,2,0.35,0.63,215.02499999999998,213.175,0.5733333333333334,0.934775026159749,1.0226339861616043,0.4426229508196721,0.4425,0.20927799093128707,0.3224043715846995,0.28415300546448086,0.10320159493373988,0.03,93.4775026159749,102.26339861616043,-8.78589600018553
Men,2017,D2,Millersville,22,62,15,34,20,25,79,6,28,34,14,10,5,1,24,24,63,6,21,17,28,71,16,37,53,11,19,5,2,23,1,1,0,0.14,0.64,77.875,79.3,0.6363636363636364,1.014446227929374,0.8953341740226987,0.47580645161290325,0.42857142857142855,0.12841091492776885,0.4032258064516129,0.5483870967741935,0.06305170239596469,0.015873015873015872,101.4446227929374,89.53341740226986,11.911205390667533
Men,2016,D1,Duke,120,255,46,108,69,95,355,63,81,144,64,37,21,17,74,129,257,28,69,62,81,348,56,89,145,56,39,20,13,83,4,1,3,0.41,0.59,274.125,278.475,0.5333333333333333,1.295029639762882,1.2496633450040397,0.5607843137254902,0.556420233463035,0.1349749202006384,0.37254901960784315,0.4235294117647059,0.07541071909507137,0.06614785992217899,129.50296397628819,124.96633450040397,4.536629475884212
Women,2016,D1,Vanderbilt,61,126,11,34,45,64,178,22,69,91,41,71,24,4,64,63,155,13,41,35,52,174,30,51,81,32,53,29,9,67,3,1,2,0.3,0.7,205.4,202.7,0.6721311475409836,0.866601752677702,0.8584114454859398,0.5277777777777778,0.4483870967741935,0.3456669912366115,0.5079365079365079,0.2698412698412698,0.11840157868771584,0.025806451612903226,86.6601752677702,85.84114454859399,0.8190307191762116
Men,2016,D2,Fla. Southern,46,88,23,46,13,17,128,18,30,48,31,12,12,2,18,34,73,6,19,10,18,84,15,26,41,14,23,11,3,17,1,1,0,0.41,0.67,90.075,89.55,0.6739130434782609,1.421038023868998,0.9380234505862647,0.6534090909090909,0.5068493150684932,0.13322231473771856,0.19318181818181818,0.5227272727272727,0.1340033500837521,0.0273972602739726,142.1038023868998,93.80234505862647,48.301457328273315
Men,2016,D3,Eastern Nazarene,58,122,11,28,14,27,141,16,50,66,27,32,15,3,37,58,116,19,45,25,38,160,17,57,74,42,33,15,5,32,2,1,1,0.22,0.75,150.825,150.05,0.46551724137931033,0.9348582794629539,1.0663112295901365,0.5204918032786885,0.5818965517241379,0.21216641803414554,0.22131147540983606,0.22950819672131148,0.0999666777740753,0.02586206896551724,93.48582794629539,106.63112295901365,-13.145295012718265
Men,2016,D3,Welch,32,67,14,27,5,8,83,7,25,32,17,18,2,6,23,27,58,11,29,19,26,84,14,26,40,25,9,15,2,15,1,0,1,0.21,0.64,81.8,65.35,0.53125,1.0146699266503667,1.2853863810252488,0.582089552238806,0.5603448275862069,0.22004889975550124,0.11940298507462686,0.40298507462686567,0.030604437643458306,0.10344827586206896,101.46699266503667,128.53863810252489,-27.071645437488215
Men,2016,D2,Hawaii,36,74,7,23,7,13,86,16,27,43,22,16,12,0,19,22,57,10,33,13,14,67,6,25,31,11,23,6,3,17,1,1,0,0.39,0.82,80.175,80.65,0.6111111111111112,1.072653570314936,0.8307501549907005,0.5337837837837838,0.47368421052631576,0.1995634549423137,0.17567567567567569,0.3108108108108108,0.14879107253564786,0.0,107.26535703149361,83.07501549907005,24.19034153242356
Women,2017,D1,Sacramento St.,23,77,9,36,18,28,73,21,24,45,9,23,9,4,22,41,79,3,12,14,22,99,17,34,51,29,19,12,8,23,1,0,1,0.38,0.59,92.3,91.45,0.391304347826087,0.790899241603467,1.082558775287042,0.35714285714285715,0.5379746835443038,0.24918743228602383,0.36363636363636365,0.4675324675324675,0.09841443411700382,0.05063291139240506,79.0899241603467,108.2558775287042,-29.165953368357506
Men,2017,D3,Concordia (AL),33,67,3,10,12,21,81,10,26,36,22,8,11,6,24,25,57,5,21,16,26,71,10,32,42,12,18,5,1,20,1,1,0,0.24,0.72,74.975,77.35,0.6666666666666666,1.0803601200400135,0.9179056237879768,0.5149253731343284,0.4824561403508772,0.10670223407802602,0.31343283582089554,0.14925373134328357,0.14221073044602459,0.10526315789473684,108.03601200400135,91.79056237879767,16.245449625203676
Women,2017,D2,Northwest Nazarene,228,504,45,132,148,185,649,111,193,304,111,176,80,21,207,226,494,49,150,185,246,686,100,169,269,129,143,100,20,177,8,2,6,0.4,0.66,656.875,653.85,0.4868421052631579,0.9880114176974311,1.0491702989982412,0.49702380952380953,0.507085020242915,0.26793529971455754,0.36706349206349204,0.2619047619047619,0.12235222145752084,0.04251012145748988,98.80114176974311,104.91702989982412,-6.115888130081004
Women,2016,D3,Rowan,61,153,11,38,31,48,164,41,56,97,31,32,30,7,36,45,134,11,33,23,37,124,40,62,102,27,54,19,8,41,2,2,0,0.4,0.58,166.8,165.575,0.5081967213114754,0.9832134292565946,0.7489053299109165,0.434640522875817,0.376865671641791,0.19184652278177458,0.3137254901960784,0.24836601307189543,0.18118677336554434,0.05223880597014925,98.32134292565947,74.89053299109165,23.43080993456782
Women,2016,D1,Arizona,785,1973,133,407,335,520,2038,426,841,1267,430,641,241,109,652,802,1947,191,602,447,636,2242,399,839,1238,444,593,315,133,609,36,14,22,0.34,0.68,2435.0,2443.1,0.5477707006369427,0.8369609856262834,0.9176865457819983,0.43157627977698937,0.46096558808423216,0.2632443531827515,0.26355803345159656,0.20628484541307654,0.09864516393107119,0.055983564458140726,83.69609856262834,91.76865457819983,-8.072556015571493
Men,2017,D1,Houston Baptist,51,125,17,44,27,42,146,22,36,58,32,27,10,2,36,70,120,20,45,34,45,194,16,61,77,45,25,13,8,40,2,0,2,0.27,0.69,149.95,150.375,0.6274509803921569,0.9736578859619874,1.290108063175395,0.476,0.6666666666666666,0.1800600200066689,0.336,0.352,0.06650041562759768,0.016666666666666666,97.36578859619874,129.0108063175395,-31.645017721340764
Men,2016,D3,Millikin,44,115,9,31,15,19,112,17,45,62,17,19,10,2,44,47,91,12,32,26,44,132,11,55,66,27,28,7,4,31,2,1,1,0.24,0.8,126.025,128.9,0.38636363636363635,0.8887125570323348,1.0240496508921644,0.4217391304347826,0.5824175824175825,0.15076373735369966,0.16521739130434782,0.26956521739130435,0.07757951900698215,0.02197802197802198,88.87125570323347,102.40496508921643,-13.53370938598296
Women,2017,D1,Abilene Christian,89,203,26,83,47,63,251,42,84,126,57,75,27,10,67,101,231,15,49,58,77,275,55,83,138,52,56,44,16,67,4,2,2,0.34,0.6,265.925,268.575,0.6404494382022472,0.9438751527686378,1.0239225542213535,0.5024630541871922,0.4696969696969697,0.2820344081978001,0.3103448275862069,0.4088669950738916,0.1005305780508238,0.04329004329004329,94.38751527686378,102.39225542213535,-8.004740145271569
Men,2017,D3,Wells,56,135,18,63,44,70,174,27,55,82,25,29,12,11,44,72,146,28,57,34,45,206,24,64,88,43,29,12,2,49,2,1,1,0.3,0.7,170.25,172.375,0.44642857142857145,1.0220264317180616,1.1950688905003626,0.48148148148148145,0.589041095890411,0.17033773861967694,0.5185185185185185,0.4666666666666667,0.06961566352429296,0.07534246575342465,102.20264317180616,119.50688905003626,-17.304245878230105
Men,2016,D2,Azusa Pacific,107,235,30,93,59,86,303,40,106,146,43,49,16,11,83,97,247,22,77,71,95,287,55,103,158,45,54,21,9,82,4,3,1,0.28,0.66,284.85,291.125,0.40186915887850466,1.0637177461822012,0.9858308286818377,0.5191489361702127,0.43724696356275305,0.1720203615938213,0.3659574468085106,0.39574468085106385,0.05495920996135681,0.044534412955465584,106.37177461822012,98.58308286818377,7.7886917500363495
Men,2016,D2,Ohio-Eastern,20,57,4,16,4,11,48,4,16,20,8,14,4,1,11,48,82,11,25,8,13,115,21,34,55,31,8,7,1,12,1,0,1,0.11,0.43,72.225,75.175,0.4,0.6645898234683282,1.5297638842700367,0.38596491228070173,0.6524390243902439,0.19383869851159571,0.19298245614035087,0.2807017543859649,0.05320917858330562,0.012195121951219513,66.45898234683281,152.97638842700368,-86.51740608017087
Women,2017,D1,Air Force,94,268,20,63,58,85,266,47,102,149,52,89,28,11,95,134,274,21,60,72,111,361,49,141,190,79,72,49,19,91,5,0,5,0.25,0.68,350.375,349.725,0.5531914893617021,0.7591865858009276,1.0322396168418042,0.3880597014925373,0.5273722627737226,0.2540135569033179,0.31716417910447764,0.23507462686567165,0.08006290656944742,0.040145985401459854,75.91865858009275,103.22396168418042,-27.30530310408767
Men,2017,D3,Jarvis Christian,26,58,4,16,14,23,70,7,24,31,9,12,7,1,20,24,57,8,27,15,21,71,10,32,42,17,14,4,1,24,1,0,1,0.18,0.71,73.925,70.975,0.34615384615384615,0.9469056476158269,1.0003522367030646,0.4827586206896552,0.49122807017543857,0.16232668244842746,0.39655172413793105,0.27586206896551724,0.09862627685804862,0.017543859649122806,94.69056476158269,100.03522367030646,-5.344658908723773
Women,2016,D1,Maryland,28,48,3,6,15,19,74,10,32,42,17,19,9,1,14,21,65,10,30,6,7,58,13,12,25,12,11,9,1,17,1,1,0,0.45,0.71,66.025,66.325,0.6071428571428571,1.120787580461946,0.8744817188088956,0.6145833333333334,0.4,0.28776978417266186,0.3958333333333333,0.125,0.13569543912551826,0.015384615384615385,112.07875804619461,87.44817188088956,24.630586165305047
Men,2016,D3,Roger Williams,37,99,14,50,24,37,112,12,62,74,25,35,6,4,29,50,124,16,50,16,26,132,16,56,72,32,20,14,3,42,2,1,1,0.18,0.79,139.575,140.35,0.6756756756756757,0.802435966326348,0.9405058781617386,0.4444444444444444,0.46774193548387094,0.2507612394769837,0.37373737373737376,0.5050505050505051,0.04275026718916993,0.03225806451612903,80.24359663263479,94.05058781617386,-13.806991183539068
Women,2016,D2,Dixie St.,43,129,7,29,32,53,125,35,43,78,22,60,17,10,58,67,148,13,43,58,78,205,48,57,105,46,38,30,10,42,2,0,2,0.38,0.47,179.175,175.05,0.5116279069767442,0.6976419701409237,1.1710939731505283,0.36046511627906974,0.4966216216216216,0.33486814566764334,0.4108527131782946,0.2248062015503876,0.0971151099685804,0.06756756756756757,69.76419701409236,117.10939731505283,-47.34520030096047
Men,2016,D1,Weber St.,22,57,4,21,5,11,53,9,18,27,9,11,8,2,14,30,62,7,14,4,4,71,13,30,43,14,13,4,2,16,1,0,1,0.23,0.58,64.225,63.900000000000006,0.4090909090909091,0.8252238224990269,1.111111111111111,0.42105263157894735,0.5403225806451613,0.17127286882055276,0.19298245614035087,0.3684210526315789,0.1251956181533646,0.03225806451612903,82.52238224990269,111.1111111111111,-28.58872886120841
Men,2016,D1,UTSA,17,52,2,17,14,27,50,6,21,27,6,24,6,1,21,44,68,15,30,13,22,116,8,34,42,23,10,10,6,24,1,0,1,0.15,0.72,82.825,80.45,0.35294117647058826,0.6036824630244492,1.4418893722809198,0.34615384615384615,0.7573529411764706,0.2897675822517356,0.5192307692307693,0.3269230769230769,0.07458048477315102,0.014705882352941176,60.368246302444916,144.188937228092,-83.82069092564707
Men,2017,D1,Pacific,67,184,13,38,25,46,172,23,68,91,29,29,16,2,61,84,165,21,57,56,66,245,20,103,123,47,38,20,17,45,3,0,3,0.18,0.77,211.85,214.35,0.43283582089552236,0.8118952088742035,1.1429904362024725,0.39945652173913043,0.5727272727272728,0.13688930847297617,0.25,0.20652173913043478,0.07464427338465128,0.012121212121212121,81.18952088742036,114.29904362024726,-33.1095227328269
Men,2017,D1,Alabama,833,1963,235,736,497,764,2398,425,928,1353,402,486,203,147,689,773,1901,214,642,517,768,2277,341,831,1172,335,472,217,102,683,35,19,16,0.34,0.73,2386.9,2396.8,0.48259303721488594,1.0046503833424105,0.950016688918558,0.4842078451349974,0.46291425565491845,0.203611378775818,0.3892002037697402,0.37493632195618953,0.08469626168224298,0.0773277222514466,100.46503833424106,95.0016688918558,5.4633694423852575
Men,2017,D3,Earlham,44,112,20,47,31,55,139,25,47,72,35,32,14,2,46,45,109,14,40,36,45,140,20,57,77,31,36,16,11,48,2,1,1,0.3,0.7,145.125,146.375,0.7954545454545454,0.9577950043066322,0.9564474807856533,0.48214285714285715,0.47706422018348627,0.22049956933677864,0.49107142857142855,0.41964285714285715,0.09564474807856532,0.01834862385321101,95.77950043066322,95.64474807856533,0.13475235209789105
Women,2017,D1,Quinnipiac,40,119,11,50,26,34,117,24,45,69,25,36,18,6,47,37,102,10,26,33,45,117,23,56,79,16,44,18,5,40,2,1,1,0.3,0.66,147.15,144.375,0.625,0.7951070336391437,0.8103896103896104,0.38235294117647056,0.4117647058823529,0.24464831804281345,0.2857142857142857,0.42016806722689076,0.12467532467532468,0.058823529411764705,79.51070336391437,81.03896103896105,-1.5282576750466745
Women,2016,D2,Okla. Christian,116,286,35,110,62,79,329,55,125,180,74,56,35,13,64,105,254,32,96,40,58,282,36,121,157,53,75,32,11,81,4,3,1,0.31,0.78,324.525,320.55,0.6379310344827587,1.0137893844850165,0.8797379503977538,0.46678321678321677,0.4763779527559055,0.1725598952314922,0.2762237762237762,0.38461538461538464,0.10918733426922476,0.051181102362204724,101.37893844850166,87.97379503977538,13.405143408726275
Women,2017,D1,Ark.-Pine Bluff,57,181,17,56,36,63,167,41,70,111,35,43,26,10,48,66,165,12,48,30,40,174,31,93,124,40,55,23,14,56,3,2,1,0.31,0.69,212.925,208.0,0.6140350877192983,0.7843137254901961,0.8365384615384616,0.36187845303867405,0.43636363636363634,0.20194904309029,0.34806629834254144,0.30939226519337015,0.125,0.06060606060606061,78.43137254901961,83.65384615384616,-5.222473604826547
Women,2016,D3,Thomas (ME),27,100,3,20,23,36,80,22,61,83,15,46,6,4,25,43,137,13,49,16,22,115,34,57,91,30,27,21,12,31,2,0,2,0.28,0.64,141.1,140.45,0.5555555555555556,0.5669737774627923,0.8187967248131008,0.285,0.3613138686131387,0.3260099220411056,0.36,0.2,0.04271982912068352,0.029197080291970802,56.69737774627923,81.87967248131008,-25.18229473503085
Men,2017,D3,Howard Payne,27,53,12,25,14,28,80,9,20,29,13,11,10,4,14,27,60,11,28,8,12,73,16,22,38,13,19,8,3,24,1,1,0,0.29,0.56,68.3,68.7,0.48148148148148145,1.171303074670571,1.0625909752547307,0.6226415094339622,0.5416666666666666,0.16105417276720352,0.5283018867924528,0.4716981132075472,0.14556040756914118,0.06666666666666667,117.13030746705711,106.25909752547307,10.871209941584041
Women,2017,D1,Oklahoma,82,180,24,57,38,52,226,33,80,113,41,34,20,14,46,70,169,21,65,28,41,189,25,73,98,35,40,17,6,54,3,3,0,0.31,0.76,205.7,203.475,0.5,1.0986874088478367,0.9288610394397346,0.5222222222222223,0.47633136094674555,0.1652892561983471,0.28888888888888886,0.31666666666666665,0.09829217348568621,0.08284023668639054,109.86874088478366,92.88610394397347,16.982636940810195
Men,2017,D3,Austin,49,133,12,36,28,51,138,25,60,85,25,18,8,8,42,48,122,10,43,37,53,143,25,71,96,22,18,9,7,44,2,1,1,0.26,0.71,150.225,140.175,0.5102040816326531,0.9186220668996505,1.0201533797039415,0.41353383458646614,0.4344262295081967,0.1198202695956066,0.38345864661654133,0.2706766917293233,0.057071517745675045,0.06557377049180328,91.86220668996505,102.01533797039414,-10.153131280429093
Women,2017,D1,Milwaukee,25,60,6,21,24,26,80,13,28,41,13,14,5,5,13,25,66,1,10,12,18,63,18,23,41,8,17,7,5,23,1,1,0,0.36,0.61,73.35,73.55,0.52,1.0906612133606,0.8565601631543168,0.4666666666666667,0.38636363636363635,0.19086571233810498,0.43333333333333335,0.35,0.06798096532970768,0.07575757575757576,109.06612133606,85.65601631543169,23.410105020628308
Men,2017,D1,Sam Houston St.,28,65,7,23,10,18,73,13,22,35,15,16,5,2,31,27,51,6,11,21,36,81,6,25,31,16,16,8,8,18,1,0,1,0.34,0.79,76.55,78.1,0.5357142857142857,0.953625081645983,1.0371318822023048,0.4846153846153846,0.5882352941176471,0.20901371652514697,0.27692307692307694,0.35384615384615387,0.06402048655569782,0.0392156862745098,95.3625081645983,103.71318822023048,-8.350680055632182
Women,2017,D2,Ohio Valley,28,54,4,7,17,35,77,11,28,39,12,21,18,2,18,29,65,2,17,10,20,70,12,25,37,22,20,11,4,26,1,1,0,0.31,0.7,80.625,82.5,0.42857142857142855,0.9550387596899225,0.8484848484848485,0.5555555555555556,0.46153846153846156,0.26046511627906976,0.6481481481481481,0.12962962962962962,0.21818181818181817,0.03076923076923077,95.50387596899225,84.84848484848484,10.655391120507403
Women,2016,D3,Utica,19,60,11,19,16,22,65,13,18,31,12,19,8,1,24,26,60,0,7,15,27,67,17,31,48,15,20,8,8,20,1,0,1,0.3,0.51,76.45,75.825,0.631578947368421,0.8502289077828646,0.8836135839103197,0.4083333333333333,0.43333333333333335,0.2485284499672989,0.36666666666666664,0.31666666666666665,0.10550609957138146,0.016666666666666666,85.02289077828647,88.36135839103197,-3.3384676127455037
Men,2017,D3,Bates,28,64,10,20,18,22,84,11,29,40,17,14,9,3,26,26,72,5,27,15,28,72,21,26,47,14,18,7,1,21,1,1,0,0.3,0.58,77.45,82.3,0.6071428571428571,1.0845706907682375,0.8748481166464156,0.515625,0.3958333333333333,0.18076178179470626,0.34375,0.3125,0.10935601458080195,0.041666666666666664,108.45706907682376,87.48481166464155,20.972257412182202
Men,2017,D3,Trinity (CT),29,82,3,11,14,24,75,20,28,48,15,5,9,8,30,23,58,7,13,25,41,78,15,36,51,9,11,4,5,28,1,0,1,0.36,0.65,78.4,73.475,0.5172413793103449,0.9566326530612245,1.06158557332426,0.3719512195121951,0.45689655172413796,0.06377551020408163,0.2926829268292683,0.13414634146341464,0.12249064307587616,0.13793103448275862,95.66326530612244,106.158557332426,-10.49529202630356
Men,2016,D3,Methodist,24,54,3,10,10,10,61,11,29,40,10,20,6,4,12,29,67,9,22,6,11,73,12,16,28,19,7,11,3,13,1,0,1,0.41,0.71,67.75,67.225,0.4166666666666667,0.9003690036900369,1.0859055410933434,0.4722222222222222,0.5,0.2952029520295203,0.18518518518518517,0.18518518518518517,0.08925251022685014,0.05970149253731343,90.03690036900369,108.59055410933433,-18.553653740330645
